brand,model,model_link,variant,variant_link,available
hyundai,creta,https://www.zigwheels.com/hyundai-cars/creta,sx (o) knight dt,https://www.zigwheels.com/hyundai-cars/creta/sx-o-knight-dt,1
hyundai,creta,https://www.zigwheels.com/hyundai-cars/creta,s (o) knight diesel at,https://www.zigwheels.com/hyundai-cars/creta/s-o-knight-diesel-at,1
hyundai,creta,https://www.zigwheels.com/hyundai-cars/creta,sx tech ivt dt,https://www.zigwheels.com/hyundai-cars/creta/sx-tech-ivt-dt,1
hyundai,creta,https://www.zigwheels.com/hyundai-cars/creta,s (o) titan grey matte diesel at,https://www.zigwheels.com/hyundai-cars/creta/s-o-titan-grey-matte-diesel-at,1
hyundai,creta,https://www.zigwheels.com/hyundai-cars/creta,sx tech diesel dt,https://www.zigwheels.com/hyundai-cars/creta/sx-tech-diesel-dt,1
hyundai,creta,https://www.zigwheels.com/hyundai-cars/creta,s (o) knight diesel at dt,https://www.zigwheels.com/hyundai-cars/creta/s-o-knight-diesel-at-dt,1
hyundai,creta,https://www.zigwheels.com/hyundai-cars/creta,sx (o) ivt,https://www.zigwheels.com/hyundai-cars/creta/sx-o-ivt,1
hyundai,creta,https://www.zigwheels.com/hyundai-cars/creta,sx (o) diesel,https://www.zigwheels.com/hyundai-cars/creta/sx-o-diesel,1
hyundai,creta,https://www.zigwheels.com/hyundai-cars/creta,s (o) knight ivt,https://www.zigwheels.com/hyundai-cars/creta/s-o-knight-ivt,1
hyundai,creta,https://www.zigwheels.com/hyundai-cars/creta,sx (o) ivt dt,https://www.zigwheels.com/hyundai-cars/creta/sx-o-ivt-dt,1
hyundai,creta,https://www.zigwheels.com/hyundai-cars/creta,sx (o) titan grey matte ivt,https://www.zigwheels.com/hyundai-cars/creta/sx-o-titan-grey-matte-ivt,1
hyundai,creta,https://www.zigwheels.com/hyundai-cars/creta,sx (o) knight diesel,https://www.zigwheels.com/hyundai-cars/creta/sx-o-knight-diesel,1
hyundai,creta,https://www.zigwheels.com/hyundai-cars/creta,sx (o) diesel dt,https://www.zigwheels.com/hyundai-cars/creta/sx-o-diesel-dt,1
hyundai,creta,https://www.zigwheels.com/hyundai-cars/creta,s (o) knight ivt dt,https://www.zigwheels.com/hyundai-cars/creta/s-o-knight-ivt-dt,1
hyundai,creta,https://www.zigwheels.com/hyundai-cars/creta,sx (o) titan grey matte diesel,https://www.zigwheels.com/hyundai-cars/creta/sx-o-titan-grey-matte-diesel,1
hyundai,creta,https://www.zigwheels.com/hyundai-cars/creta,sx (o) knight diesel dt,https://www.zigwheels.com/hyundai-cars/creta/sx-o-knight-diesel-dt,1
hyundai,creta,https://www.zigwheels.com/hyundai-cars/creta,sx (o) diesel at,https://www.zigwheels.com/hyundai-cars/creta/sx-o-diesel-at,1
hyundai,creta,https://www.zigwheels.com/hyundai-cars/creta,sx (o) turbo dct,https://www.zigwheels.com/hyundai-cars/creta/sx-turbo-o-dct,1
hyundai,creta,https://www.zigwheels.com/hyundai-cars/creta,sx (o) diesel at dt,https://www.zigwheels.com/hyundai-cars/creta/sx-o-diesel-at-dt,1
hyundai,creta,https://www.zigwheels.com/hyundai-cars/creta,sx (o) turbo dct dt,https://www.zigwheels.com/hyundai-cars/creta/sx-o-turbo-dct-dt,1
hyundai,creta,https://www.zigwheels.com/hyundai-cars/creta,sx (o) knight diesel at,https://www.zigwheels.com/hyundai-cars/creta/sx-o-knight-diesel-at,1
hyundai,creta,https://www.zigwheels.com/hyundai-cars/creta,sx (o) titan grey matte diesel at,https://www.zigwheels.com/hyundai-cars/creta/sx-o-titan-grey-matte-diesel-at,1
hyundai,creta,https://www.zigwheels.com/hyundai-cars/creta,sx (o) knight diesel at dt,https://www.zigwheels.com/hyundai-cars/creta/sx-o-knight-diesel-at-dt,1
hyundai,venue,https://www.zigwheels.com/hyundai-cars/venue,e,https://www.zigwheels.com/hyundai-cars/venue/new,1
hyundai,venue,https://www.zigwheels.com/hyundai-cars/venue,e plus,https://www.zigwheels.com/hyundai-cars/venue/e-plus,1
hyundai,venue,https://www.zigwheels.com/hyundai-cars/venue,s,https://www.zigwheels.com/hyundai-cars/venue/s,1
hyundai,venue,https://www.zigwheels.com/hyundai-cars/venue,s plus,https://www.zigwheels.com/hyundai-cars/venue/s-plus,1
hyundai,venue,https://www.zigwheels.com/hyundai-cars/venue,s opt,https://www.zigwheels.com/hyundai-cars/venue/s-opt,1
hyundai,venue,https://www.zigwheels.com/hyundai-cars/venue,s opt plus,https://www.zigwheels.com/hyundai-cars/venue/s-opt-plus,1
hyundai,venue,https://www.zigwheels.com/hyundai-cars/venue,executive turbo,https://www.zigwheels.com/hyundai-cars/venue/executive-turbo,1
hyundai,venue,https://www.zigwheels.com/hyundai-cars/venue,s opt knight,https://www.zigwheels.com/hyundai-cars/venue/s-opt-knight,1
hyundai,venue,https://www.zigwheels.com/hyundai-cars/venue,s opt plus adventure,https://www.zigwheels.com/hyundai-cars/venue/s-opt-plus-adventure,1
hyundai,venue,https://www.zigwheels.com/hyundai-cars/venue,sx executive,https://www.zigwheels.com/hyundai-cars/venue/sx-executive,1
hyundai,venue,https://www.zigwheels.com/hyundai-cars/venue,s plus diesel,https://www.zigwheels.com/hyundai-cars/venue/s-plus-diesel,1
hyundai,venue,https://www.zigwheels.com/hyundai-cars/venue,s opt turbo,https://www.zigwheels.com/hyundai-cars/venue/s-opt-turbo,1
hyundai,venue,https://www.zigwheels.com/hyundai-cars/venue,sx,https://www.zigwheels.com/hyundai-cars/venue/sx,1
hyundai,venue,https://www.zigwheels.com/hyundai-cars/venue,sx dt,https://www.zigwheels.com/hyundai-cars/venue/sx-dt,1
hyundai,venue,https://www.zigwheels.com/hyundai-cars/venue,sx adventure,https://www.zigwheels.com/hyundai-cars/venue/sx-adventure,1
hyundai,venue,https://www.zigwheels.com/hyundai-cars/venue,sx adventure dt,https://www.zigwheels.com/hyundai-cars/venue/sx-adventure-dt,1
hyundai,venue,https://www.zigwheels.com/hyundai-cars/venue,sx knight,https://www.zigwheels.com/hyundai-cars/venue/sx-knight,1
